,ATL,AUS,BOS,BUF,BWI,CUN,DAL,DCA,DEN,ELP,HNL,HOU,IAD,IAH,JAX,LAS,LGA,MBJ,MCO,MDW,MSY,OAK,ORD,PDX,PHL,PHX,RNO,SAN,SEA,SFO,SJC,SMF
ATL,-,81.0,-,-,79.0,-,89.0,78.0,67.0,-,-,99.0,-,-,92.0,-,60.0,-,-,79.0,81.0,-,-,-,87.0,-,-,-,-,-,-,-
AUS,81.0,-,66.0,-,-,-,-,92.0,89.0,60.0,-,92.0,-,-,-,74.0,-,-,-,-,60.0,73.0,-,-,-,83.0,-,67.0,-,-,67.0,89.0
BOS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BUF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BWI,59.0,87.0,46.0,-,-,-,92.0,-,-,-,-,-,-,-,-,-,84.0,-,-,78.0,-,-,78.0,-,-,89.0,-,-,95.0,-,-,-
CUN,-,142.0,-,-,-,-,-,-,129.0,-,-,108.0,-,-,-,-,-,-,160.0,137.0,-,-,165.0,-,-,-,-,-,-,-,-,-
DAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEN,67.0,85.0,84.0,83.0,-,-,-,-,-,78.0,-,89.0,92.0,89.0,-,79.0,71.0,-,-,66.0,-,-,66.0,53.0,-,79.0,85.0,89.0,60.0,91.0,85.0,85.0
ELP,-,60.0,-,-,-,-,-,-,81.0,-,-,81.0,-,91.0,-,-,-,-,-,-,-,-,-,-,-,67.0,-,-,-,-,-,-
HNL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HOU,77.0,92.0,-,-,89.0,95.0,-,92.0,89.0,81.0,-,-,-,-,-,-,88.0,-,-,82.0,-,-,-,-,109.0,89.0,-,-,-,-,-,-
IAD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JAX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LGA,-,-,-,-,-,-,74.0,-,-,-,-,88.0,-,-,88.0,-,-,-,-,64.0,84.0,-,-,-,-,-,-,-,-,-,-,-
MBJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171.0,-,-,-,-,-,-,-,-,-,-,-,-,-
MCO,88.0,53.0,-,-,-,-,-,67.0,-,-,-,88.0,-,89.0,-,-,-,129.0,-,89.0,59.0,-,89.0,-,89.0,-,-,-,-,-,-,98.0
MDW,79.0,-,60.0,-,-,-,83.0,78.0,89.0,-,-,82.0,-,89.0,-,-,64.0,-,-,-,-,92.0,-,-,89.0,-,-,-,85.0,-,-,-
MSY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OAK,-,73.0,-,-,102.0,-,-,-,-,-,119.0,-,-,-,-,-,95.0,-,-,64.0,-,-,-,-,-,-,-,-,53.0,-,-,-
ORD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PDX,-,-,-,-,-,-,-,-,53.0,-,-,-,-,-,-,70.0,-,-,-,89.0,-,40.0,-,-,-,60.0,-,77.0,-,-,53.0,79.0
PHL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PHX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RNO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEA,-,-,-,-,-,-,-,-,60.0,-,-,-,-,-,-,53.0,-,-,-,53.0,-,53.0,-,-,-,-,-,-,-,-,-,-
SFO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SJC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SMF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
