	ATL	AUS	BOS	BUF	BWI	CUN	DAL	DCA	DEN	ELP	HNL	HOU	IAD	IAH	JAX	LAS	LGA	MCO	MDW	MSY	OAK	ORD	PDX	PHL	PHX	RNO	SAN	SAT	SEA	SFO	SJC	SMF
ATL	-	81	-	-	79	-	89	78	67	-	-	99	-	-	92	-	60	-	79	81	-	-	-	87	-	-	-	-	-	-	-	-
AUS	81	-	66	-	-	-	-	92	89	60	-	92	-	-	-	74	-	-	-	60	73	-	-	-	83	-	67	-	-	-	67	89
BOS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BUF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BWI	59	87	46	-	-	-	92	-	-	-	-	-	-	-	-	-	84	-	78	-	-	78	-	-	89	-	-	-	95	-	-	-
CUN	-	212	-	-	212	-	-	-	237	-	-	198	-	-	-	-	-	190	201	204	-	-	-	-	230	-	-	222	-	-	-	-
DAL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DCA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DEN	67	85	84	83	97	-	-	-	-	78	-	89	92	89	-	79	71	-	66	-	-	66	53	98	79	85	89	-	60	91	85	85
ELP	-	60	-	-	-	-	-	-	81	-	-	81	-	91	-	-	-	-	-	-	-	-	-	-	67	-	-	-	-	-	-	-
HNL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOU	77	92	-	-	89	95	-	92	89	81	-	-	-	-	-	-	88	-	82	-	-	-	-	-	89	-	-	-	-	-	-	-
IAD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IAH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JAX	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LAS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LGA	-	-	-	-	-	-	74	-	95	-	-	88	-	-	88	-	-	-	64	84	-	-	-	-	-	-	-	-	-	-	-	-
MCO	88	53	-	-	-	-	-	67	-	-	-	88	-	89	-	-	-	-	89	59	-	89	-	89	-	-	-	-	-	-	-	98
MDW	79	-	60	97	-	-	83	78	89	-	-	82	-	89	-	-	64	-	-	97	92	-	99	89	99	-	-	95	85	-	-	-
MSY	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
OAK	-	73	-	-	102	-	-	-	-	-	119	-	-	-	-	-	95	-	64	-	-	-	-	-	-	-	-	-	53	-	-	-
ORD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDX	-	-	-	-	-	-	-	-	88	-	-	-	-	-	-	99	-	-	-	-	-	-	-	-	-	-	93	-	-	-	74	79
PHL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PHX	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RNO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SEA	-	-	-	-	100	-	91	-	60	-	-	-	-	-	-	53	-	-	53	-	53	-	-	-	81	-	-	-	-	-	-	-
SFO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SJC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SMF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
